Timestamp,What is Your age group ?,Whta is Your highest level of education ?,Which city / town do you currently reside in ?,Do you believe that sports is important for the overall developement of a child ?,How many hours per week does your child spend in physical / sports actively ?,I encourage my child to participate in competitive sports. ,I would support my child if they wanted to pursue sports as a full-time career. ,A career in sports lacks job security. ,Sports can be as respectable and successful a career as medicine/engineering. ,Is your child enrolled in any coaching academy or private training for sports ?,I am aware of sports scholarships for young athletes in India. ,I believe that schools provide enough support for children in sports. ,Sports careers come with high injury risks.  ,A sports career can affect my child's education negatively.  ,Financial stability is a major concern in sports careers.  ,What is Your Gender,Email address,Column 17,Column 14
18/08/2025 13:50:02,Below 30,Undergraduate,Tribeni ,Strongly Agree,2 - 5 hours,Agree,Agree,Neutral,Neutral,Planning to,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Male,,,
18/08/2025 13:50:04,Below 30,Schooling,Chinsurah ,Strongly Agree,Less than 2 hours,Strongly Agree,Neutral,Disagree,Disagree,No,Neutral,Disagree,Disagree,Neutral,Agree,Male,,,
18/08/2025 13:50:06,Below 30,Undergraduate,Tribeni ,Agree,Less than 2 hours,Agree,Agree,Disagree,Strongly Agree,Yes,Neutral,Disagree,Neutral,Disagree,Neutral,Female,,,
18/08/2025 13:50:09,Below 30,Undergraduate,naihati,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,No,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Male,,,
18/08/2025 13:50:11,Below 30,Undergraduate,Singur ,Strongly Agree,6 - 10 hours,Strongly Agree,Agree,Neutral,Agree,Planning to,Neutral,Disagree,Agree,Disagree,Agree,Male,,,
18/08/2025 13:50:14,Below 30,Undergraduate,Sheoraphuli ,Strongly Agree,6 - 10 hours,Agree,Agree,Agree,Agree,No,Agree,Disagree,Agree,Disagree,Agree,Male,,,
18/08/2025 13:50:15,Below 30,Postgraduate,Bhadreswar,Agree,Less than 2 hours,,,,,Planning to,,,Neutral,Strongly Disagree,Agree,Male,,,
18/08/2025 13:50:18,Below 30,Undergraduate,Ichapore,Strongly Agree,2 - 5 hours,Agree,Strongly Agree,Neutral,Agree,Planning to,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Female,,,
18/08/2025 13:50:21,Below 30,Undergraduate,West bengal,Agree,2 - 5 hours,Agree,Agree,Neutral,Agree,Yes,Agree,Agree,Neutral,Neutral,Agree,Male,,,
18/08/2025 13:50:23,Below 30,Undergraduate,Howrah,Agree,2 - 5 hours,Agree,Agree,Agree,Agree,No,Agree,Disagree,Agree,Neutral,Agree,Male,,,
18/08/2025 13:50:25,Below 30,Undergraduate,chandannagar ,Strongly Agree,More than 10 hours,Strongly Agree,Agree,Neutral,Agree,Planning to,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Female,,,
18/08/2025 13:50:28,Below 30,Undergraduate,"Naihati, Bhatpara West Bengal, India",Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Neutral,Neutral,Agree,Disagree,Agree,Male,,,
18/08/2025 13:50:30,Below 30,Undergraduate,Serampore ,Strongly Agree,Less than 2 hours,Agree,Neutral,Agree,Neutral,No,Neutral,Agree,Disagree,Agree,Agree,Male,,,
18/08/2025 13:50:32,Below 30,Undergraduate,Sheoraphully,Agree,2 - 5 hours,Agree,Agree,Strongly Disagree,Neutral,No,Agree,Neutral,Agree,Disagree,Agree,Female,,,
18/08/2025 13:50:35,Below 30,Postgraduate,Bhatpara,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,,,
